Batch Size,Epochs,Dropout,LR,LSTM1,LSTM2,Dense,Optimizer,Precision,Recall,F1-Score,Test Accuracy
64,50,0.35,0.0001,128,64,32,adam,0.5452570609614513,0.5455298013245033,0.5453841192225092,0.5455297827720642
64,50,0.35,0.0001,128,64,32,rmsprop,0.5722225590745394,0.5670529801324503,0.5191352418449465,0.567052960395813
64,50,0.35,0.0001,128,64,64,adam,0.5361893370378448,0.5389072847682119,0.5365133799764177,0.5389072895050049
64,50,0.35,0.0001,128,64,64,rmsprop,0.5422262533917761,0.5455298013245033,0.5420980264843882,0.5455297827720642
64,50,0.35,0.0001,128,128,32,adam,0.5332502511028934,0.5347682119205298,0.5337230711773039,0.5347682237625122
64,50,0.35,0.0001,128,128,32,rmsprop,0.5322613781769079,0.5339403973509934,0.5327506594055513,0.5339403748512268
64,50,0.35,0.0001,128,128,64,adam,0.5335844866558275,0.5264900662251656,0.5257889854822357,0.5264900922775269
64,50,0.35,0.0001,128,128,64,rmsprop,0.5218555668161483,0.5140728476821192,0.5127422069022366,0.514072835445404
64,50,0.35,0.0001,256,64,32,adam,0.5450372023109807,0.5447019867549668,0.5448562039348839,0.5447019934654236
64,50,0.35,0.0001,256,64,32,rmsprop,0.5358110209412943,0.5347682119205298,0.535171269238354,0.5347682237625122
64,50,0.35,0.0001,256,64,64,adam,0.5169151482952836,0.5256622516556292,0.5108749349644931,0.5256622433662415
64,50,0.35,0.0001,256,64,64,rmsprop,0.5386043359435428,0.543046357615894,0.5373836777803151,0.5430463552474976
64,50,0.35,0.0001,256,128,32,adam,0.5250151860524059,0.5281456953642384,0.5253669702283812,0.5281456708908081
64,50,0.35,0.0001,256,128,32,rmsprop,0.5474558579504933,0.5521523178807947,0.5445730552048246,0.5521523356437683
64,50,0.35,0.0001,256,128,64,adam,0.5337180700094607,0.5364238410596026,0.534079659058048,0.5364238619804382
64,50,0.35,0.0001,256,128,64,rmsprop,0.536277884280237,0.5413907284768212,0.5341525770954579,0.5413907170295715
64,50,0.35,0.0003,128,64,32,adam,0.5315853409533866,0.5331125827814569,0.5320637226761554,0.5331125855445862
64,50,0.35,0.0003,128,64,32,rmsprop,0.5188586198404732,0.5041390728476821,0.4945172694147861,0.5041390657424927
64,50,0.35,0.0003,128,64,64,adam,0.5725077794622196,0.5504966887417219,0.44423419254583535,0.5504966974258423
64,50,0.35,0.0003,128,64,64,rmsprop,0.524918389812312,0.5306291390728477,0.5231155028977987,0.5306291580200195
64,50,0.35,0.0003,128,128,32,adam,0.5345557197775499,0.5355960264900662,0.5349439174304518,0.5355960130691528
64,50,0.35,0.0003,128,128,32,rmsprop,0.5295033112582782,0.5364238410596026,0.5243587111296439,0.5364238619804382
64,50,0.35,0.0003,128,128,64,adam,0.524093760892297,0.5298013245033113,0.5223802595491338,0.5298013091087341
64,50,0.35,0.0003,128,128,64,rmsprop,0.5555961739353339,0.5488410596026491,0.5485043468294029,0.5488410592079163
64,50,0.35,0.0003,256,64,32,adam,0.528613244053382,0.5306291390728477,0.5291254111798023,0.5306291580200195
64,50,0.35,0.0003,256,64,32,rmsprop,0.5251014321199086,0.5306291390728477,0.5235336657937302,0.5306291580200195
64,50,0.35,0.0003,256,64,64,adam,0.5093082457800129,0.4966887417218543,0.48889582243862717,0.49668875336647034
64,50,0.35,0.0003,256,64,64,rmsprop,0.532068816585085,0.5364238410596026,0.5313969364369573,0.5364238619804382
64,50,0.35,0.0003,256,128,32,adam,0.5279365148754631,0.5298013245033113,0.5284509983384791,0.5298013091087341
64,50,0.35,0.0003,256,128,32,rmsprop,0.5203766640248243,0.527317880794702,0.5172222852978356,0.5273178815841675
64,50,0.35,0.0003,256,128,64,adam,0.5397320406490616,0.5422185430463576,0.5400851882478128,0.5422185659408569
64,50,0.35,0.0003,256,128,64,rmsprop,0.5289850482276549,0.5314569536423841,0.5294531492246273,0.5314569473266602
64,50,0.35,0.0005,128,64,32,adam,0.5155048412585578,0.5256622516556292,0.506336461252894,0.5256622433662415
64,50,0.35,0.0005,128,64,32,rmsprop,0.5284052087996274,0.5306291390728477,0.5289083135463979,0.5306291580200195
