Open,Close,High,Low
10970.8,10964.3,10974.4,10958.5
10964.8,10952.5,10967.9,10948.0
10952.4,10918.7,10952.5,10918.2
10918.5,10909.7,10919.3,10891.7
10908.9,10913.2,10914.7,10903.7
10912.5,10922.9,10924.3,10911.3
10923.4,10942.4,10944.5,10920.8
10942.3,10944.3,10947.9,10938.5
10944.2,10940.2,10948.0,10938.9
10939.9,10948.2,10949.4,10939.4
10948.2,10955.4,10960.4,10944.4
10954.4,10953.4,10957.8,10946.4
10953.8,10945.7,10955.3,10933.4
10945.9,10948.5,10950.5,10944.3
10948.7,10930.0,10948.7,10923.5
10929.7,10896.5,10978.0,10856.2
10896.2,10878.0,10934.4,10872.2
10878.0,10899.4,10902.3,10864.9
10897.4,10932.4,10943.9,10897.4
10931.9,10889.2,10936.2,10880.2
10889.4,10828.2,10892.2,10820.9
10827.9,10845.2,10851.4,10816.9
10845.2,10847.9,10857.7,10838.9
10847.7,10858.3,10879.7,10837.0
10858.4,10864.2,10878.4,10851.2
10864.0,10871.3,10883.7,10850.3
10871.4,10908.9,10912.4,10869.2
10908.9,10927.0,10936.7,10905.0
10927.8,10909.9,10928.2,10896.5
10910.0,10903.4,10914.9,10890.9
10902.3,10901.8,10917.9,10898.2
10903.0,10883.2,10910.4,10873.7
10883.0,10873.4,10898.2,10872.7
10873.4,10862.8,10876.3,10856.9
10862.7,10841.3,10863.5,10831.7
10841.2,10831.0,10843.0,10823.2
10831.0,10852.0,10852.7,10824.7
10852.0,10872.2,10874.0,10851.7
10872.0,10913.7,10920.2,10872.0
10912.7,10914.8,10919.3,10901.3
10914.6,10912.2,10920.7,10911.3
10911.8,10904.7,10913.7,10904.6
10905.0,10908.6,10909.8,10904.2
10908.5,10904.1,10909.2,10904.0
10904.2,10897.3,10904.5,10895.8
10896.5,10892.6,10899.2,10891.3
10892.5,10891.2,10893.0,10889.3
10890.8,10893.2,10893.8,10890.1
10893.1,10894.3,10894.7,10892.3
10894.2,10894.6,10895.3,10893.0
10895.0,10898.1,10900.6,10894.3
10900.5,10909.3,10915.5,10893.2
10909.5,10903.7,10912.2,10898.8
10903.6,10904.0,10908.0,10902.0
10903.7,10914.0,10916.5,10903.6
10913.6,10917.1,10924.3,10913.1
10917.2,10912.1,10919.6,10909.7
10912.5,10912.6,10916.0,10910.2
10912.5,10926.3,10930.3,10911.5
10926.3,10931.2,10932.1,10923.5
10931.3,10922.8,10932.1,10920.1
10922.6,10917.5,10924.3,10913.0
10917.6,10919.2,10921.2,10915.8
10919.3,10929.7,10931.7,10919.3
10929.6,10931.2,10934.7,10925.5
10931.2,10944.8,10948.1,10931.1
10944.7,10944.2,10950.0,10941.6
10944.3,10936.2,10945.0,10934.2
10936.1,10939.1,10940.1,10933.8
10939.1,10937.2,10940.5,10934.2
10936.7,10939.0,10943.8,10935.2
10939.0,10937.5,10939.2,10932.7
10937.5,10939.2,10942.2,10935.5
10939.0,10955.2,10956.1,10935.7
10955.2,10940.5,10956.0,10939.5
10940.3,10935.0,10940.5,10931.8
10935.1,10931.8,10939.3,10931.8
10931.8,10936.0,10938.3,10931.3
10936.0,10946.5,10949.0,10934.8
10946.7,10951.2,10952.0,10946.1
10951.7,10942.2,10951.8,10940.1
10942.3,10961.0,10962.0,10937.8
10961.2,10950.3,10961.8,10950.2
10950.1,10939.8,10952.7,10939.8
10939.8,10927.3,10941.0,10924.1
10926.3,10930.0,10931.2,10920.3
10930.1,10924.1,10935.7,10923.1
10924.8,10916.5,10931.8,10915.6
10916.3,10921.7,10925.0,10911.0
10918.7,10921.5,10921.8,10912.8
10924.0,10873.8,10937.0,10867.7
10874.0,10889.5,10891.8,10868.0
10889.5,10882.2,10891.2,10879.0
10882.2,10858.0,10883.7,10842.5
10858.0,10848.1,10858.6,10829.5
10848.1,10852.3,10857.7,10843.0
10852.3,10852.6,10859.1,10841.2
10852.2,10843.8,10856.6,10840.5
10843.6,10845.6,10850.2,10841.8
10845.3,10828.3,10845.6,10822.3
10828.3,10835.3,10840.2,10824.2
10835.3,10836.6,10838.1,10822.7
10836.1,10836.7,10842.1,10833.8
10836.6,10814.0,10838.1,10805.7
10813.8,10838.3,10838.3,10813.8
10838.3,10786.6,10840.7,10769.8
10787.0,10772.6,10796.8,10764.8
10772.6,10759.2,10773.6,10737.0
10759.1,10746.1,10759.7,10731.2
10746.8,10770.7,10772.0,10741.0
10770.6,10784.3,10801.6,10765.3
10783.6,10795.3,10812.6,10775.8
10795.5,10806.7,10842.0,10769.6
10807.7,10808.8,10834.9,10792.1
10808.7,10794.6,10814.8,10781.1
10794.6,10783.3,10803.9,10770.3
10783.7,10797.3,10810.4,10777.2
10797.1,10778.3,10803.6,10774.1
10778.4,10774.1,10784.6,10759.6
10774.2,10796.8,10802.3,10765.7
10796.7,10783.9,10801.1,10778.8
10783.7,10767.6,10785.4,10760.4
10767.7,10766.3,10777.1,10761.2
10765.2,10769.7,10773.4,10755.4
10769.8,10774.7,10779.7,10767.7
10775.2,10787.4,10805.9,10775.2
10787.6,10779.9,10793.9,10779.4
10780.3,10758.9,10783.6,10757.1
10759.6,10772.3,10774.1,10756.3
10772.6,10773.7,10780.7,10766.2
10773.6,10777.8,10788.3,10771.7
10777.8,10798.6,10802.1,10772.7
10798.8,10798.6,10809.1,10795.1
10797.9,10787.4,10800.9,10786.2
10787.7,10778.1,10794.9,10775.2
10777.7,10789.3,10796.1,10774.8
10788.9,10797.7,10809.1,10785.1
10797.8,10782.4,10797.9,10781.2
10782.3,10762.8,10788.1,10760.7
10762.7,10785.3,10789.6,10759.7
10785.8,10780.1,10792.2,10778.1
10780.3,10797.1,10803.6,10777.1
10797.2,10783.8,10803.3,10778.8
10782.3,10768.7,10783.3,10766.0
10769.0,10768.4,10773.0,10763.3
10768.2,10761.7,10772.9,10758.9
10762.0,10758.5,10765.0,10756.8
10758.3,10754.3,10759.2,10749.5
10754.2,10764.5,10768.4,10753.8
10764.3,10744.9,10764.3,10744.8
10745.0,10748.0,10750.4,10743.7
10748.0,10811.5,10819.5,10748.0
10812.3,10807.0,10831.9,10801.8
10806.8,10825.7,10835.9,10806.8
10825.8,10816.4,10833.7,10809.3
10816.5,10808.5,10826.5,10804.5
10808.8,10801.5,10815.8,10800.8
10801.3,10800.8,10807.2,10794.9
10801.0,10795.8,10808.7,10788.9
10797.0,10795.4,10807.3,10789.0
10795.2,10805.2,10808.4,10793.5
10805.0,10784.8,10808.5,10782.3
10784.8,10802.4,10803.2,10784.8
10802.5,10796.9,10803.9,10792.7
10797.0,10783.3,10802.9,10781.4
10783.4,10788.8,10795.9,10782.8
10788.8,10815.2,10826.2,10787.5
10815.3,10810.5,10822.4,10807.3
10810.4,10824.9,10835.3,10809.0
10825.0,10823.8,10829.2,10816.4
10823.9,10800.9,10827.5,10800.7
10801.2,10793.0,10801.5,10787.5
10792.8,10781.7,10794.0,10780.9
10781.8,10779.4,10783.3,10772.7
10779.5,10769.7,10787.8,10765.4
10769.1,10761.8,10773.5,10758.6
10762.0,10758.5,10765.1,10751.1
10758.2,10754.0,10759.3,10746.0
10754.5,10762.1,10766.3,10753.1
10761.2,10751.8,10764.0,10746.2
10752.0,10748.5,10763.8,10743.1
10748.3,10727.5,10748.3,10727.3
10728.3,10741.8,10748.1,10728.2
10742.1,10749.2,10755.2,10739.7
10749.0,10745.2,10749.0,10738.7
10745.0,10746.0,10748.7,10742.1
10743.8,10753.0,10753.0,10743.3
10752.8,10757.0,10758.2,10752.8
10756.7,10757.1,10758.3,10754.8
10757.0,10758.6,10761.2,10756.3
10758.5,10756.7,10760.7,10756.0
10756.8,10760.0,10760.7,10756.7
10760.1,10759.3,10761.8,10755.6
10759.5,10757.3,10760.6,10757.1
10757.5,10757.7,10759.7,10756.0
10726.0,10722.1,10726.0,10714.5
10722.0,10720.8,10726.1,10718.0
10721.0,10732.1,10734.7,10720.7
10732.2,10739.8,10744.1,10730.5
10739.8,10735.6,10741.3,10734.3
10735.5,10728.1,10737.0,10728.0
10728.2,10731.0,10733.7,10724.5
10731.1,10737.1,10737.3,10728.3
10736.3,10737.1,10744.2,10736.0
10737.1,10734.3,10738.0,10730.2
10735.1,10723.7,10736.6,10720.6
10723.7,10713.0,10723.7,10712.0
10713.1,10719.8,10724.7,10711.1
10720.0,10725.0,10727.2,10717.7
10724.6,10722.5,10730.0,10722.5
10722.6,10728.1,10731.1,10722.5
10728.0,10731.6,10735.2,10727.6
10731.7,10725.1,10733.8,10722.1
10725.2,10725.0,10730.6,10721.3
10724.7,10713.3,10726.1,10709.0
10713.5,10712.6,10715.5,10705.0
10713.1,10715.6,10717.1,10708.3
10715.7,10719.1,10721.3,10713.8
10719.2,10714.5,10720.0,10713.3
10714.6,10710.1,10717.8,10709.6
10710.2,10709.2,10712.6,10705.7
10709.1,10705.5,10710.5,10703.0
10705.3,10708.7,10710.8,10701.1
10708.6,10715.3,10715.6,10706.8
10715.2,10716.2,10720.5,10712.8
10716.1,10720.0,10724.3,10716.1
10719.8,10715.0,10721.8,10712.2
10714.8,10708.7,10720.1,10707.8
10708.8,10714.7,10719.0,10708.2
10714.1,10728.7,10729.0,10714.1
10729.0,10717.6,10729.1,10716.6
10718.3,10704.2,10718.7,10703.0
10704.1,10712.5,10712.6,10702.2
10711.8,10708.1,10716.2,10706.5
10708.2,10677.3,10709.0,10676.6
10677.6,10685.8,10692.3,10673.6
10685.6,10686.3,10703.1,10684.8
10686.3,10771.3,10868.2,10685.1
10771.1,10762.1,10788.7,10740.5
10761.3,10796.3,10806.6,10760.6
10797.0,10834.0,10850.5,10797.0
10834.1,10867.3,10890.8,10833.3
10866.5,10865.6,10876.3,10844.3
10865.5,10853.7,10872.6,10846.1
10853.8,10821.6,10857.7,10811.6
10821.6,10828.6,10828.8,10808.8
10828.5,10808.8,10831.3,10806.3
10808.7,10805.6,10808.7,10791.7
10805.2,10813.0,10821.5,10801.5
10813.2,10846.7,10855.7,10776.1
10846.2,10748.8,10866.7,10736.8
10748.8,10710.0,10766.5,10700.7
10708.7,10718.7,10728.3,10689.6
10718.5,10751.3,10758.0,10710.0
10751.7,10737.1,10776.5,10734.5
