Open,Close,High,Low,ATR,MACD,Signal Line,Trade
12430.6,12401.0,12430.9,12391.6,47.192857142857065,8.47,-23.44,BUY
12402.6,12400.6,12420.6,12399.0,44.80714285714281,22.14,-19.93,BUY
12537.0,12539.5,12563.9,12536.3,27.757142857143013,-10.18,26.69,SELL
12553.2,12546.3,12564.4,12537.8,28.47857142857161,-28.11,9.46,SELL
12547.3,12543.8,12549.7,12531.0,28.564285714285948,-32.57,0.37,SELL
12517.2,12530.3,12533.0,12517.2,28.357142857142986,-42.5,-37.2,SELL
12531.9,12532.6,12533.4,12529.5,10.185714285714312,24.31,-7.5,BUY
12537.6,12543.1,12545.0,12535.2,8.128571428571377,0.07,-2.59,BUY
12619.6,12618.8,12625.2,12616.1,23.628571428571508,-11.39,-3.84,SELL
12595.3,12580.4,12601.4,12564.4,24.857142857142858,-24.42,-9.32,SELL
12587.9,12578.7,12589.4,12573.2,22.357142857142726,-27.68,-17.66,SELL
12338.7,12336.8,12340.9,12330.7,14.628571428571506,52.55,12.84,BUY
12335.1,12328.4,12335.1,12320.7,13.20714285714283,43.84,28.27,BUY
12328.3,12338.6,12344.2,12327.1,14.171428571428676,41.69,32.45,BUY
12338.4,12328.8,12339.4,12328.4,14.264285714285895,40.57,36.53,BUY
12318.7,12316.7,12323.3,12313.1,15.685714285714052,48.64,47.09,BUY
12258.8,12268.0,12269.1,12249.9,21.278571428571663,18.7,16.19,BUY
12289.2,12288.7,12297.8,12286.8,16.164285714285533,5.51,14.51,SELL
12349.7,12350.2,12350.8,12347.1,16.228571428570962,-8.62,-3.22,SELL
12237.1,12222.2,12237.1,12217.5,11.45714285714296,5.72,-7.72,BUY
12095.9,12086.6,12095.9,12084.6,10.850000000000104,4.81,11.7,SELL
12051.8,12054.0,12068.8,12049.3,20.600000000000232,2.14,8.69,SELL
12073.7,12068.0,12074.1,12060.9,19.764285714285638,2.51,-4.41,BUY
12145.7,12147.4,12148.9,12143.6,12.892857142857142,-39.05,-13.91,SELL
12147.6,12155.9,12157.4,12146.6,8.285714285714286,-40.29,-20.04,SELL
12169.2,12159.5,12176.7,12157.1,30.81428571428582,4.29,-19.91,BUY
