Contract ID,Timestamp,Balance,Current candle open,Previous candle open,Oldest candle open,MACD line,Signal_line,Status,Buy/Sell
00384627-0055-311e-0000-0000825406f3,19:57:02.124193,1.12,19794.3,19745.3,19737.5,51.50,4.90,Take Profit,1
00384627-0055-311e-0000-000082540c0e,20:12:07.037371,554.94,19882.7,19865.0,19820.9,81.20,18.00,Take Profit,1
00384627-0055-311e-0000-000082540e3e,20:22:10.673162,-4.03,19819.2,19867.5,19882.7,88.20,31.60,Take Profit,1
00384627-0055-311e-0000-000082541012,20:27:13.273731,554.94,19765.2,19819.2,19867.5,89.20,44.30,Take Profit,1
00384627-0055-311e-0000-0000825413ef,20:42:18.076448,-10.22,19815.0,19775.9,19761.0,84.60,62.90,Take Profit,1
00384627-0055-311e-0000-000082541631,20:52:22.062062,551.62,19760.2,19804.0,19815.0,74.40,69.70,Take Profit,1
00384627-0055-311e-0000-00008254176e,20:57:24.429794,-10.22,19732.4,19760.2,19804.0,62.50,73.30,Take Profit (20 minutes),1
00384627-0055-311e-0000-000082543f76,10:33:15.410926,544.29,19773.7,19797.2,19817.0,-8.90,-0.30,Take Profit,2
00384627-0055-311e-0000-0000825445e2,11:13:27.372392,3.7,19637.7,19689.3,19710.3,-51.80,-16.10,Take Profit,2
00384627-0055-311e-0000-0000825448c6,11:23:32.013252,552.15,19542.0,19585.3,19637.7,-72.30,-24.40,Take Profit,2
00384627-0055-311e-0000-00008254497c,11:28:34.237383,3.7,19557.7,19542.0,19585.3,-80.10,-33.50,Take Profit,2
00384627-0055-311e-0000-000082544bcf,11:53:40.827292,549.11,19587.7,19569.5,19543.0,-102.60,-80.70,Take Profit,2
00384627-0055-311e-0000-000082545750,14:04:10.591570,4.76,19582.0,19613.4,19622.0,0.00,12.60,Take Profit,2
00384627-0055-311e-0000-000082545cdb,14:34:18.360393,544.57,19647.3,19570.3,19582.2,-10.20,-2.20,Take Profit,2
00384627-0055-311e-0000-000082546142,14:54:23.845323,1.8,19702.0,19690.3,19652.0,-0.60,-6.10,Take Profit,2
00384627-0055-311e-0000-000082546472,15:04:27.480725,544.57,19799.7,19705.7,19702.0,18.50,-2.60,Take Profit,1
00384627-0055-311e-0000-0000825468ea,15:24:33.106341,-6.07,19853.2,19810.8,19779.0,64.70,17.60,Take Profit,1
00384627-0055-311e-0000-0000825468ea,15:29:35.563519,544.57,19835.2,19853.2,19810.8,77.50,27.30,Take Profit,1
00384627-0055-311e-0000-000082546e19,15:44:40.333319,-7.0,19875.4,19853.5,19823.5,98.50,39.10,Take Profit,1
00384627-0055-311e-0000-0000825471d2,15:59:44.751199,540.78,19821.9,19849.2,19873.9,105.00,63.30,Take Profit,1
00384627-0055-311e-0000-0000825471d2,16:04:46.995356,-7.0,19807.0,19821.9,19849.2,99.70,73.50,Take Profit,1
00384627-0055-311e-0000-000082547926,16:34:55.080038,538.99,19777.1,19818.5,19823.1,44.20,81.80,Take Profit,1
00384627-0055-311e-0000-000082547926,16:39:57.635347,-7.0,19783.9,19777.1,19818.5,30.90,76.60,Take Profit,1
00384627-0055-311e-0000-000082547e64,17:00:03.338309,544.23,19765.1,19826.0,19829.9,-3.00,53.70,Take Profit,2
00384627-0055-311e-0000-000082547f08,17:05:05.689807,-7.0,19789.6,19765.1,19826.0,-10.10,40.90,Take Profit,2
00384627-0055-311e-0000-00008254838b,17:30:12.295102,552.6,19669.5,19714.9,19741.7,-37.80,-6.00,Take Profit,2
00384627-0055-311e-0000-00008254894c,18:10:22.064619,-11.06,19721.6,19693.6,19668.4,-59.30,-50.60,Take Profit,2
00384627-0055-311e-0000-000082549674,19:30:40.744661,565.25,19589.7,19634.9,19649.0,-15.70,-24.30,Take Profit,2
00384627-0055-311e-0000-000082549a20,19:50:46.329910,-16.59,19642.6,19602.5,19619.6,-17.30,-19.60,Take Profit,2
00384627-0055-311e-0000-000082549b7f,19:55:48.832672,565.25,19666.5,19642.6,19602.5,-15.50,-18.50,Take Profit,2
00384627-0055-311e-0000-00008254c496,09:23:49.303209,553.42,19591.0,19632.1,19650.1,-16.20,-5.20,OPEN,2
00384627-0055-311e-0000-00008254da9d,13:38:16.461582,549.04,19540.7,19576.5,19591.1,-3.00,2.10,Take Profit,2
00384627-0055-311e-0000-00008254dbba,13:43:19.715426,0.0,19506.2,19540.7,19576.5,-9.10,1.00,Take Profit,2
00384627-0055-311e-0000-00008254e9ff,14:43:34.295083,548.01,19485.3,19435.2,19456.7,-66.90,-56.60,Take Profit,2
00384627-0055-311e-0000-00008254ee19,14:58:39.169889,3.27,19542.3,19485.1,19512.3,-49.80,-60.40,Take Profit,2
00384627-0055-311e-0000-00008254eeeb,15:03:41.582328,548.01,19500.1,19542.3,19485.1,-42.50,-59.90,Take Profit,2
00384627-0055-311e-0000-00008254f3a0,15:23:47.653705,0.82,19548.8,19528.1,19495.7,-6.60,-45.50,Take Profit,2
00384627-0055-311e-0000-00008254fac1,15:58:56.502174,548.01,19581.9,19527.3,19545.3,32.40,14.10,Take Profit,1
00384627-0055-311e-0000-00008254fd8c,16:14:01.137425,-4.76,19557.7,19585.2,19599.4,39.30,25.60,Take Profit,1
00384627-0055-311e-0000-00008254fee0,16:19:03.630217,547.29,19540.4,19557.7,19585.2,36.90,29.40,Take Profit,1
00384627-0055-311e-0000-000082550286,16:44:10.956351,-7.95,19484.8,19521.0,19525.5,15.20,29.60,Take Profit,1
00384627-0055-311e-0000-0000825507a4,17:14:18.801185,547.03,19593.2,19547.3,19521.2,-7.30,7.70,Take Profit,2
00384627-0055-311e-0000-000082550897,17:19:21.305259,-10.43,19640.3,19593.2,19547.3,-3.60,3.20,Take Profit,2
00384627-0055-311e-0000-0000825511d6,18:19:36.145454,541.7,19629.3,19642.9,19671.9,61.70,47.80,Take Profit,1
00384627-0055-311e-0000-0000825514dc,18:44:43.226982,-15.04,19667.0,19649.3,19624.5,38.00,52.70,Take Profit,1
00384627-0055-311e-0000-0000825525e5,20:50:12.613418,539.45,19677.2,19650.7,19637.8,-9.60,-5.40,Take Profit,2
00384627-0055-311e-0000-000082552867,21:00:16.415973,-17.98,19745.7,19731.3,19677.2,0.40,-5.20,Take Profit (20 minutes),1
